"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"IV30";"RV30";"IVP";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"SLB";"Energy";"XLE";51,49;3,53;10;"SKIP";51,59;49,29;57,34;3;"SKIP";51,39;50,29;54,13;5;4;1;0,898;1,055;0,56;"S:4/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:- BK3:- BK4:-";33,9;55,8;2,1;3,4;TRUE;0,82;17,9;"";FALSE;TRUE;"SKIP";41,4;37,9;93,3;81,3;3,5;"FAIL";"Backwardation";"20260325 21:14";10;FALSE;FALSE;FALSE;""
"STLD";"Basic Materials";"XLB";195,3;3,04;10;"WATCH";195,69;184,06;224,76;2;"SKIP";194,91;187,78;212,73;8;5;3;0,901;0,947;0,82;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";25,9;65,2;16,3;5;TRUE;2,77;6,8;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"TNK";"Energy";"XLE";72,89;4,48;10;"SKIP";73,04;70,61;79,1;2;"SKIP";72,74;72,03;74,52;5;4;1;0,839;0,983;0,77;"S:4/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:+ BK3:- BK4:-";24,1;50,8;-8;2,2;TRUE;1,26;13,5;"";FALSE;TRUE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"TSN";"Agricultural";"MOO";64,96;2,02;10;"WATCH";65,09;62,55;71,44;2;"SKIP";64,83;63,81;67,38;8;5;3;1;0,916;0,64;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";22,3;58,9;0,4;2,8;TRUE;2,43;3,5;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"TXN";"Technology";"XLK";218,87;2,65;10;"WATCH";219,31;204,64;255,97;2;"SKIP";218,43;208,78;242,57;8;5;3;0,767;0,852;0,92;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";28,7;69,4;16;5,9;TRUE;5,82;6,3;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"AA";"Basic Materials";"XLB";71,84;4,93;9;"WATCH";71,98;62,52;95,65;3;"SKIP";71,7;63,78;91,48;6;4;2;0,999;0,896;0,63;"S:4/6 BK:2/4 | S1:+ S2:+ S3:+ S4:- S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";27,3;62,1;-5,3;13,8;FALSE;1,36;2,6;"";TRUE;FALSE;"SKIP";73,8;74,1;96,9;88,5;-0,3;"FAIL";"Backwardation";"20260323 13:36";9;TRUE;FALSE;FALSE;""
"ABBV";"Healthcare";"XLV";210,26;2,73;3;"SKIP";210,68;217,75;193;9;"SKIP";209,84;222,15;179,06;1;1;0;0,61;1,032;0,84;"S:1/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:+ S6:- | BK1:- BK2:- BK3:- BK4:-";20,2;45,6;8;-4,4;FALSE;0,67;-3,6;"";FALSE;FALSE;"SKIP";33;25,8;94,4;69,4;7,2;"PARTIAL";"Contango";"20260323 13:44";9;FALSE;TRUE;FALSE;""
"ADBE";"Technology";"XLK";235,72;3,92;3;"SKIP";236,19;253,65;192,56;9;"SKIP";235,25;258,77;176,45;2;2;0;0,568;0,867;1,2;"S:2/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:-";35,3;41,5;3,1;-8;FALSE;0,57;-12,8;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;FALSE;FALSE;FALSE;""
"ADM";"Agricultural";"MOO";68,84;3,24;4;"SKIP";68,98;68,78;69,48;9;"SKIP";68,7;70,17;65,04;1;1;0;1;1,049;0,68;"S:1/6 BK:0/4 | S1:- S2:+ S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:-";22,7;43,4;-12,1;-0,9;FALSE;0,48;-4,2;"";TRUE;FALSE;"SKIP";35,4;32,3;90,4;63,9;3,1;"FAIL";"Backwardation";"20260323 13:49";9;FALSE;FALSE;FALSE;""
"AGCO";"Agricultural";"MOO";122,58;3,05;8;"WATCH";122,83;123,33;121,56;4;"SKIP";122,33;125,82;113,61;8;4;4;0,451;0,906;1,32;"S:4/6 BK:4/4 | S1:- S2:+ S3:+ S4:- S5:+ S6:+ | BK1:+ BK2:+ BK3:+ BK4:+";24,1;56,7;15,3;-1,6;FALSE;1,58;1,9;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"AGI";"Precious Metals";"GLD";48,78;4,56;9;"SKIP";48,88;45,27;57,89;2;"SKIP";48,68;46,19;54,93;8;5;3;0,688;0,913;0,58;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";16,1;60;5;6,7;TRUE;5,24;8,8;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;FALSE;FALSE;FALSE;""
"AMAT";"Technology";"XLK";395,64;4;9;"WATCH";396,43;350,08;512,3;3;"SKIP";394,85;357,16;489,08;7;4;3;0,956;0,88;0,83;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:- S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";23,6;64,2;11,8;11,9;FALSE;2,71;7,8;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"AME";"Industrial";"XLI";234,36;2,38;9;"WATCH";234,83;223,28;263,69;3;"SKIP";233,89;227,79;249,14;7;4;3;0,831;0,842;0,85;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:- S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";31,2;66,3;17,2;3,9;FALSE;1,71;4,9;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"AXP";"Financial";"XLF";326,96;2,59;9;"WATCH";327,61;316,06;356,5;3;"SKIP";326,31;322,45;335,96;7;4;3;0,665;0,848;0,72;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";25,8;64,1;14,6;2,4;TRUE;2,47;4,6;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"BIOX";"Agricultural";"MOO";0,59;10,68;9;"WATCH";0,59;0,52;0,75;3;"SKIP";0,58;0,53;0,71;7;4;3;0,841;0,563;0,43;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";39,6;57,1;5,7;10,9;TRUE;2,03;33,2;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"BN";"Consumer non cyclical";"XLP";45,55;2,95;9;"SKIP";45,64;42,37;53,83;3;"SKIP";45,46;43,22;51,05;7;4;3;0,746;0,92;1,09;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";27,3;70,3;21,6;6,4;TRUE;6,38;20,5;"";FALSE;TRUE;"SKIP";29,5;23,7;96,8;66,9;5,8;"FAIL";"Backwardation";"20260324 07:45";9;FALSE;FALSE;FALSE;""
"BSX";"Healthcare";"XLV";63,82;3,11;3;"SKIP";63,95;70,56;47,4;9;"SKIP";63,69;71,99;42,95;1;1;0;0,697;0,93;0,77;"S:1/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";42,4;38,7;12,4;-10,5;FALSE;0,74;-7,1;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;FALSE;FALSE;FALSE;""
"CLF";"Basic Materials";"XLB";9,45;4,91;8;"WATCH";9,47;9,98;8,19;4;"SKIP";9,43;10,18;7,56;7;4;3;0,505;0,884;0,57;"S:4/6 BK:3/4 | S1:- S2:- S3:+ S4:+ S5:+ S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";27,8;55;11,1;-6,3;TRUE;3,87;4,5;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"COF";"Financial";"XLF";199,84;2,95;9;"WATCH";200,24;193,51;217,06;3;"SKIP";199,44;197,42;204,49;7;4;3;0,711;0,888;0,76;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";23,3;61,4;19,2;2,2;TRUE;2,44;5,5;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"CSCO";"Technology";"XLK";82,61;2,51;9;"WATCH";82,78;79,12;91,9;3;"SKIP";82,44;80,72;86,75;7;4;3;0,884;0,924;0,77;"S:4/6 BK:3/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";17,3;58,6;3,3;3,4;TRUE;4,16;-1,7;"";TRUE;FALSE;"SKIP";27,8;36,5;66,9;88,4;-8,7;"PASS";"Contango";"20260324 19:08";9;TRUE;TRUE;TRUE;""
"CTVA";"Agricultural";"MOO";82,95;2,21;9;"WATCH";83,12;78,07;95,74;2;"SKIP";82,78;79,64;90,64;4;4;0;0,825;1,001;0,78;"S:4/6 BK:0/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:- BK3:- BK4:-";30,9;56,3;-11,5;5,2;TRUE;1;3,4;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"DIS";"Communications";"XLC";102,59;2,17;9;"SKIP";102,8;100,65;108,16;3;"SKIP";102,38;102,68;101,64;7;4;3;0,7;0,884;0,95;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";27,7;60,6;22,5;0,9;TRUE;3,11;2,9;"";FALSE;FALSE;"SKIP";26,3;26;53,2;52,2;0,3;"PASS";"Contango";"20260326 00:47";9;FALSE;TRUE;FALSE;""
"DXCM";"Healthcare";"XLV";62,95;3,41;3;"SKIP";63,08;67,39;52,29;9;"SKIP";62,82;68,75;48;3;2;1;0,588;0,884;1,21;"S:2/6 BK:1/4 | S1:- S2:- S3:- S4:- S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:+";25,8;39,7;2,4;-7,5;FALSE;0,38;-3,7;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;FALSE;FALSE;FALSE;""
"EMR";"Industrial";"XLI";144,56;2,94;9;"WATCH";144,85;140,49;155,74;3;"SKIP";144,27;143,33;146,62;7;4;3;0,755;0,864;0,65;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";30,7;62,4;12,4;1,9;TRUE;5,58;4,2;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"FITB";"Financial";"XLF";49,77;2,56;9;"WATCH";49,87;48,52;53,24;3;"SKIP";49,67;49,5;50,09;7;4;3;0,684;0,87;0,64;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";28;62,1;6;1,5;TRUE;4,92;7,8;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"GDX";"Precious Metals";"GLD";100,75;4,17;9;"SKIP";100,95;97,27;110,14;3;"SKIP";100,55;99,24;103,82;7;4;3;0,594;1,053;0,53;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:+ S6:- | BK1:+ BK2:+ BK3:+ BK4:-";22;59,4;7,3;2,5;TRUE;3,56;10,1;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;FALSE;FALSE;FALSE;""
"GE";"Industrial";"XLI";318;3,36;9;"WATCH";318,64;309,36;341,83;3;"SKIP";317,36;315,61;321,75;7;4;3;0,622;1,042;0,63;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:- S5:+ S6:- | BK1:+ BK2:+ BK3:+ BK4:-";28,9;58,7;15,3;1,8;FALSE;2,62;0,2;"";TRUE;FALSE;"SKIP";38,5;36,9;92,9;86,9;1,6;"FAIL";"Backwardation";"20260323 09:18";9;TRUE;FALSE;FALSE;""
"GOOG";"Communications";"XLC";330,58;2,5;9;"SKIP";331,24;304,24;398,74;3;"SKIP";329,92;310,39;378,75;7;4;3;1;0,924;0,92;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";29,8;70,2;15,4;7,6;TRUE;5,89;7,5;"";FALSE;FALSE;"SKIP";30,1;27,9;40,9;24,6;2,2;"PASS";"Contango";"20260324 08:02";9;FALSE;TRUE;FALSE;""
"KGC";"Precious Metals";"GLD";34,01;4,26;9;"SKIP";34,08;32,03;39,21;3;"SKIP";33,94;32,67;37,11;7;4;3;0,703;0,909;0,71;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";22,4;61,5;8,4;5,1;TRUE;1,91;12,9;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;FALSE;FALSE;FALSE;""
"KHC";"Consumer non cyclical";"XLP";22,11;2,78;4;"SKIP";22,15;23,18;19,6;9;"WATCH";22,07;23,64;18,12;2;2;0;0,649;0,965;1;"S:2/6 BK:0/4 | S1:- S2:- S3:+ S4:- S5:+ S6:- | BK1:- BK2:- BK3:- BK4:-";24,2;42,4;-11,7;-5,6;FALSE;0,64;1,5;"";FALSE;TRUE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
