Market Cap ($) Desc;
Financial Instrument;Last;Change;Change %;26 Week IV Percentile;26 Week IV Rank;26 Week IV Low;26 Week IV High;Opt. Implied Volatility %;26 Week High;26 Week Low;
XOM NYSE;103.05;0.0799999999999983;0.00077693;72.35772609710693;20.41384506225586;17.469896242385406;55.983040675818295;25.3%;120.79000091552734;97.80999755859375;
ORCL NYSE;155.95;-1.3599999999999852;-0.008645349945966468;80.48780560493469;48.32799530029297;21.883009029000913;73.95774198086413;47%;197.802001953125;119.01000213623047;
BRK A NYSE;754505.00;-1745.0;-0.0023074380165289256;;;;;;812855.0;661614.0;
PG NYSE;166.18;1.1500000000000057;0.006968429982427472;39.024388790130615;19.452009201049805;11.80110882318589;35.89067350628018;16.5%;179.99000549316406;156.51499938964844;
JNJ NYSE;152.78;0.1699999999999875;0.0011139505930147925;75.60975551605225;26.360645294189453;12.28528167337423;39.64181981843198;19.5%;169.99000549316406;139.55099487304688;
SAP NYSE;294.87;-4.970000000000027;-0.016575506937033174;51.21951103210449;19.484487533569336;21.52107045052435;50.6158712027305;27.2%;302.04998779296875;229.53700256347656;
HD NYSE;362.50;-3.6299999999999955;-0.00991451123917733;43.08943152427673;21.37836265563965;16.512662412521447;51.269898514786895;23.9%;437.0830078125;326.30999755859375;
BAC NYSE;43.15;-0.1600000000000037;-0.0036942969291157628;56.91056847572327;16.74402618408203;18.476339573315865;67.66826360036075;26.7%;47.97999954223633;33.06999969482422;
ABBV NYSE;183.26;0.7199999999999989;0.003944340966363531;76.42276287078857;23.52058219909668;17.244477253453123;60.105651082906675;27.3%;218.60000610351562;164.38999938964844;
QQQ NASDAQ.NMS;508.34;-5.659999999999968;-0.01101167315175091;64.2276406288147;23.936819076538086;13.22346447031817;51.30005846136213;22.3%;540.8099975585938;402.3900146484375;
KO NYSE;71.58;0.4399999999999977;0.006184987348889482;53.658539056777954;20.332883834838867;12.817076931361981;35.644618608803924;17.5%;74.37999725341797;60.6150016784668;
TOYOF PINK;18.33;0.030000000000001137;0.001639344262295144;;;;;;22.122800827026367;13.949999809265137;
BABA NYSE;120.88;-0.6000000000000085;-0.004939084622983277;24.390244483947754;13.907927513122559;28.145501649463235;82.33472036556955;35.7%;148.4199981689453;80.30000305175781;
TM NYSE;182.30;-0.5199999999999818;-0.0028443277540749472;55.28455376625061;22.470842361450195;20.190786171671107;50.736516902746445;27.1%;200.8300018310547;155.0;
ASML NASDAQ.NMS;730.01;-10.690000000000055;-0.014432293776157762;35.772356390953064;11.372941970825195;28.58998829740196;73.13068528119113;33.7%;783.18798828125;578.510009765625;
HESAY PINK.LIMITED;267.88;-6.189999999999998;-0.022585470865107447;;;;;;299.8909912109375;212.46200561523438;
PLTR NASDAQ.NMS;123.60;1.3100000000000023;0.010712241393409127;13.821138441562653;33.01718521118164;29.566271681757183;116.1506024412144;58.2%;133.49000549316406;63.400001525878906;
NSRGY PINK.CURRENT;108.23;1.730000000000004;0.0162441314553991;;;;;;108.2300033569336;77.36479949951172;
PM NYSE;178.67;3.440000000000026;0.01963134166524012;59.34959053993225;22.382165908813477;16.117388222506733;44.18034180250781;22.4%;178.69000244140625;116.16999816894531;
TMUS NASDAQ.NMS;242.88;2.0600000000000023;0.00855410680176066;46.341463923454285;26.590471267700195;16.225334219528488;48.06324864204578;24.7%;276.489990234375;208.38999938964844;
LVMUY PINK.LIMITED;108.78;-0.7890000000000015;-0.007200876152231463;;;;;;157.6439971923828;104.85900115966797;
UNH NYSE;294.75;-1.920000000000016;-0.006471837395085502;92.68292784690857;41.94588088989258;18.781130966747384;88.26385243536409;47.9%;620.0869750976562;248.9199981689453;
CRM NYSE;272.85;-10.569999999999993;-0.03729447463128922;91.86992049217224;61.77370071411133;23.130745238392;58.80235108566574;45.2%;368.5840148925781;230.0;
CSCO NASDAQ.NMS;62.83;-0.5300000000000011;-0.008364898989899007;33.33333432674408;16.04833221435547;13.767960909728854;43.03737740360432;18.5%;66.5;52.11000061035156;
GE NYSE;233.00;2.7299999999999898;0.011855647717896338;;;;;30.1%;;;
IBM NYSE;C258.37;;;43.90243887901306;16.352399826049805;17.288926213932747;60.88032409497901;24.4%;269.1000061035156;213.42599487304688;
CVX NYSE;C135.29;;;75.60975551605225;22.747699737548828;14.939498901154872;60.84381281847793;25.4%;168.9499969482422;132.05999755859375;
