Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
EOG NYSE,Oil&Gas,110.98,59.34959053993225,20.250347137451172,19.10655826872287,63.00115971071919,28%,137.7899932861328,102.5199966430664
SYK NYSE,Healthcare-Products,381.76,59.34959053993225,18.779550552368164,16.203110478503056,49.63641215341235,22.5%,405.5899963378906,329.3800048828125
ABT NYSE,Healthcare-Products,132.43,56.91056847572327,23.052841186523438,14.825203052636024,46.68851392428416,22.2%,141.00999450683594,110.70099639892578
HLT NYSE,Lodging,251.64,54.47154641151428,20.0283203125,16.044365669504586,63.831397989070126,25.6%,275.0660095214844,196.07000732421875
PM NYSE,Agriculture,179.09,53.658539056777954,20.546842575073242,16.117388222506733,44.18034180250781,21.9%,179.8300018310547,116.16999816894531
VRTX NASDAQ.NMS,Biotechnology,445.00,52.84552574157715,23.97100257873535,21.709976684526804,53.29072138219762,29.3%,519.6799926757812,377.8500061035156
SHEL NYSE,Oil&Gas,66.32,52.03251838684082,6.646783351898193,12.280519654358601,135.22064204129242,20.5%,74.17500305175781,58.55500030517578
MCK NYSE,Pharmaceuticals,715.33,51.21951103210449,27.321012496948242,15.091895337085006,47.24412223420756,23.9%,730.1199951171875,558.25
UPS NYSE,Transportation,96.92,51.21951103210449,17.189626693725586,18.3350564863272,64.93467248965212,26.3%,135.18499755859375,90.5999984741211
MCO NYSE,Commercial Services,482.80,50.406503677368164,14.972535133361816,17.944544315328116,51.909638291367656,23%,529.5139770507812,379.4800109863281
XLK ARCA,,232.89,50.406503677368164,15.09111213684082,15.344298607629597,64.70766862509588,22.8%,243.13999938964844,172.4499969482422
SPG NYSE,REITS,160.92,49.593496322631836,14.609548568725586,17.655628289853695,54.67656501361444,23.1%,190.13499450683594,136.33999633789062
TMUS NASDAQ.NMS,Telecommunications,241.83,49.593496322631836,27.734636306762695,16.225334219528488,48.06324864204578,25.1%,276.489990234375,208.38999938964844
VGT ARCA,,611.42,49.593496322631836,16.246414184570312,15.517330952103709,56.98948400674875,22.3%,648.760009765625,451.0
C NYSE,Banks,75.29,48.78048896789551,14.467074394226074,19.368487055727478,73.0767108042515,27.1%,84.73500061035156,55.529998779296875
MET NYSE,Insurance,78.51,48.78048896789551,19.754104614257812,14.929974863123615,64.13777573655435,24.7%,88.48870086669922,65.26000213623047
PAYX NASDAQ.NMS,Software,157.97,47.96747863292694,20.65935516357422,15.220478721079495,42.16110676757856,20.8%,159.25,134.12399291992188
SBUX NASDAQ.NMS,Retail,85.86,47.96747863292694,17.495899200439453,19.84313512867018,71.71943633007093,28.9%,117.45999908447266,75.5
LMT NYSE,Aerospace/Defense,470.65,47.15447127819061,24.849807739257812,17.12065736690302,43.00880528951054,23.6%,526.68701171875,419.0
MAR NASDAQ.NMS,Lodging,265.11,47.15447127819061,17.830820083618164,15.444308399101562,70.72251999402924,25.3%,306.8370056152344,205.39999389648438
APD NYSE,Chemicals,273.43,46.341463923454285,17.753915786743164,16.787292380948983,57.426034449137674,24%,341.05999755859375,244.1999969482422
EMR NYSE,Electrical Compo&Equip,120.17,46.341463923454285,18.64841651916504,14.544224711140155,71.26066806037159,25.1%,134.28599548339844,90.11000061035156
MDT NYSE,Healthcare-Products,81.44,46.341463923454285,21.545801162719727,12.785329152305291,46.483733800753356,20%,96.20999908447266,78.83419799804688
TM NYSE,Auto Manufacturers,183.08,46.341463923454285,19.895671844482422,20.190786171671107,50.736516902746445,26.3%,196.98899841308594,155.0
ETN NYSE,Electrical Compo&Equip,327.29,45.52845656871796,15.047475814819336,21.303589145570616,73.4386479042993,29.1%,377.0320129394531,234.0
HSBC NYSE,Banks,58.82,45.52845656871796,18.57547378540039,13.1059929568364,60.42154991156464,21.9%,60.19499969482422,44.910499572753906
PGR NYSE,Insurance,277.05,45.52845656871796,20.609363555908203,16.70315647900536,54.975006555548866,24.6%,292.989990234375,230.0
PH NYSE,Miscellaneous Manufactur,668.79,45.52845656871796,16.219837188720703,18.038202776874236,66.05700098001164,25.8%,715.8189697265625,489.9100036621094
BN NYSE,Private Equity,58.00,44.71544623374939,21.257369995117188,19.050997437730537,68.6080357082149,29.6%,62.779998779296875,43.61000061035156
CM NYSE,Banks,68.28,43.90243887901306,21.43819236755371,13.696524710779414,46.747251898668175,20.8%,68.83999633789062,53.63999938964844
ZTS NYSE,Pharmaceuticals,165.22,43.08943152427673,20.07847785949707,19.200216730268995,51.59532433833364,25.7%,181.1999969482422,139.6999969482422
CI NYSE,Healthcare-Services,311.49,42.276424169540405,31.244123458862305,19.990768067155933,45.26615901636626,27.9%,350.0,262.1099853515625
CTAS NASDAQ.NMS,Commercial Services,225.65,41.46341383457184,19.636545181274414,16.593622649502144,41.82932961410598,21.5%,227.65199279785156,180.43499755859375
LNG NYSE,Pipelines,233.57,41.46341383457184,18.941434860229492,20.74798231407597,62.81701253887485,28.7%,256.94500732421875,190.00999450683594
UNP NYSE,Transportation,223.20,41.46341383457184,16.777328491210938,14.809327684678925,49.847543606868996,20.7%,256.7200012207031,204.72000122070312
GS NYSE,Banks,613.34,39.83739912509918,13.85612678527832,18.731919987252134,73.44975977481202,26.3%,672.1900024414062,439.7699890136719
IWM ARCA,NoMD,206.43,39.83739912509918,8.570531845092773,17.5175193893992,55.96716235100369,20.8%,242.95799255371094,171.72999572753906
